id,title,description,category,tags,duration,modules
1,Introduction to Machine Learning,Learn the basics of ML including supervised and unsupervised learning algorithms.,Data Science,"machine learning, ai, classification, regression",6 Weeks,Basics of ML|Supervised Learning|Unsupervised Learning|Model Evaluation|Project
2,Advanced Deep Learning,Explore neural networks convolutional neural networks and sequence models for AI applications.,Data Science,"deep learning, neural networks, computer vision, nlp",8 Weeks,Neural Networks Intro|CNNs & Computer Vision|RNNs & NLP|Transformers|Final Project
3,Data Analysis with Python,Master pandas and numpy to clean analyze and visualize data effectively.,Data Science,"python, pandas, numpy, data analysis",4 Weeks,Python Basics|Pandas for Data|Data Visualization|Data Cleaning|Capstone
4,Full Stack Web Development,Build modern web applications using HTML CSS JavaScript and Node.js.,Web Development,"html, css, javascript, nodejs, react",12 Weeks,HTML & CSS|JavaScript Basics|React Frontend|Node.js Backend|Database Integration
5,Frontend Masterclass with React,Deep dive into React components hooks and state management for complex UIs.,Web Development,"react, frontend, javascript, ui",6 Weeks,React Fundamentals|Hooks in Depth|State Management|Routing & APIs|Performance Optimization
6,Backend APIs with FastAPI,Create blazing fast RESTful APIs using Python and FastAPI framework.,Web Development,"python, fastapi, backend, api",4 Weeks,FastAPI Basics|Routing & Validation|Database & SQLAlchemy|Authentication|Deployment
7,Introduction to Cyber Security,Learn the fundamentals of securing networks applications and data.,Cyber Security,"security, networks, cryptography",5 Weeks,Security Basics|Network Security|Cryptography|Web Vulnerabilities|Risk Management
8,Ethical Hacking Basics,Understand vulnerabilities and how to protect systems through penetration testing.,Cyber Security,"hacking, penetration testing, security",6 Weeks,Penetration Testing Intro|Scanning Networks|Exploitation Techniques|Web App Hacking|Reporting
9,UI/UX Design Fundamentals,Design beautiful and user-friendly interfaces using Figma.,Design,"ui, ux, figma, design",4 Weeks,Design Thinking|Wireframing|Figma Basics|Prototyping|User Testing
10,Agile Project Management,Learn scrum methodologies and sprint planning for software development.,Business,"agile, scrum, management, business",3 Weeks,Agile Principles|Scrum Framework|Sprint Planning|Kanban|Team Dynamics
11,Python for Beginners,A complete introduction to programming using Python.,Programming,"python, basics, programming",4 Weeks,Variables & Types|Control Flow|Functions|Data Structures|File I/O
12,Natural Language Processing,Build models to understand and generate human language using transformers.,Data Science,"nlp, text processing, transformers, ai",8 Weeks,Text Preprocessing|Word Embeddings|Sequence Models|Transformers & BERT|Generative AI
